number,description,dimensions,product_number
1977K-1EK*,Eastern King,HB: 63.5H FB: 31.5H,1977-1*
1977-1*,Queen Bed,HB: 63.5H FB: 31.5H,1977-1*
1977F-1*,Full Bed,HB: 63.5H FB: 31.5H,1977-1*
1977T-1*,Twin Bed,HB: 63.5H FB: 31.5H,1977-1*
1977-4,Night Stand,28 x 16 x 27.75H,1977-1*
1977-5,Dresser,62 x 17.75 x 38.25H,1977-1*
1977-6,Mirror,46 x 2.5 x 36H,1977-1*
1977-9,Chest,38 x 17.75 x 52.25H,1977-1*
1977-7,Armoire,41.5 x 22 x 67.75H,1977-1*
1978KW-1CK*,California King Bed,HB: 72.25H FB: 30.25H,1978W-1*
1978KW-1EK*,Eastern King Bed,HB: 72.25H FB: 30.25H,1978W-1*
1978W-1*,Queen Bed,HB: 72.25H FB: 30.25H,1978W-1*
1978W-4,Night Stand,33.25 x 19.25 x 31.25H,1978W-1*
1978W-5,Dresser,70 x 19.75 x 38H,1978W-1*
1978W-6,Mirror,46 x 2 x 46H,1978W-1*
1978W-9,Chest,44 x 19.25 x 56H,1978W-1*
1990K-1CK*,California King Bed,HB: 63H FB: 24H,1990-1*
1990K-1EK*,Eastern King Bed,HB: 63H FB: 24H,1990-1*
1990-1*,Queen Bed,HB: 63H FB: 24H,1990-1*
1990-4,Night Stand,28 x 17.5 x 28H,1990-1*
1990-5,Dresser,66 x 17.5 x 38.5H,1990-1*
1990-6,Mirror,50 x 1.5 x 36H,1990-1*
1990-9,Chest,38 x 17.5 x 54.25H,1990-1*
1990RFK-1CKN*,California King bed,HB:63H  FB:24H,1990RF-1N*
1990RFK-1EKN*,Eastern King Bed,HB:63H  FB:24H,1990RF-1N*
1990RF-1N*,Queen Bed,HB:63H  FB:24H,1990RF-1N*
1990RF-4,Night Stand,28 x 17.5 x 28H,1990RF-1N*
1990RF-5,Dresser,66 x 17.5 x 38.5H,1990RF-1N*
1990RF-6,Mirror,50 x 1.5 x 36H,1990RF-1N*
1990RF-9,Chest,38 x 17.5 x 54.25H,1990RF-1N*
2024-1HB,Queen/FULL Headboard,HB: 48.5H,2024-1HB
2024T-1HB,Twin Headboard,HB: 48.5H,2024-1HB
2025-1HB,Queen/FULL Headboard,HB: 48.5H,2025-1HB
2025T-1HB,Twin Headboard,HB: 48.5H,2025-1HB
2026PU-1HB,Queen/FULL Headboard,HB: 48.5H,2026PU-1HB
2026TPU-1HB,Twin Headboard,HB: 48.5H,2026PU-1HB
2042-1*,Queen Bed,HB: 48H  FB: 16H,2042-1*
2042F-1*,Full Bed,HB: 48H  FB: 16H,2042-1*
2042T-1*,Twin Bed,HB: 48H  FB: 16H,2042-1*
2042-4,Night Stand,22 x 16 x 22H,2042-1*
2042-5,Dresser,54 x 16 x 36H,2042-1*
2042-6,Mirror,36 x 1.5 x 36H,2042-1*
2042-9,Chest,34 x 16 x 48H,2042-1*
2046K-1CK*,California King,HB: 50.5H FB: 16.5H,2046-1*
2046K-1EK*,Eastern King,HB: 50.5H FB: 16.5H,2046-1*
2046-1*,Queen Bed,HB: 50.5H FB: 16.5H,2046-1*
2046F-1*,Full Bed,HB: 50.5H FB: 16.5H,2046-1*
2046T-1*,Twin Bed,HB: 50.5H FB: 16.5H,2046-1*
2046-4,Night Stand,23.75 x 16.5 x 25.5H,2046-1*
2046-5,Dresser,58 x 17 x 33.75H,2046-1*
2046-6,Mirror,38.5 x 1.5 x 42.25H,2046-1*
2046-9,Chest,36 x 17 x 50.25H,2046-1*
2046-15,Writing Desk,47.75 x 18 x 31H,2046-1*
2100K-1CK*,California King Bed,HB: 52H FB: 13.5H,2100-1*
2100K-1EK*,Eastern King Bed,HB: 52H FB: 13.5H,2100-1*
2100-1*,Queen Bed,HB: 52H FB: 13.5H,2100-1*
2100F-1*,Full Bed,HB: 52H FB: 13.5H,2100-1*
DRACK-QN,Metal Display Rack for Queen Bed,52 x 76 x 44H,2100-1*
2111K-1,Eastern King/California King Headboard,HB: 58H,2111-1*
2111-1,Queen/FULL Headboard,HB: 58H,2111-1*
2111-4,"Night Stand, High Pressure Laminate Top",26 x 17 x 28H,2111-1*
2111-5,"Dresser, High Pressure Laminate Top",62 x 18 x 36H,2111-1*
2111-6,Mirror,42 x 1.25 x 41H,2111-1*
2111-9,"Chest, High Pressure Laminate Top",38 x 18 x 54H,2111-1*
2111-11,"TV Chest, High Pressure Laminate Top",48 x 19 x 43H,2111-1*
2119KBK-1CK*,California King,HB: 57H FB: 20H,2119BK-1*
2119KBK-1EK*,Eastern King,HB: 57H FB: 20H,2119BK-1*
2119BK-1*,Queen Bed,HB: 57H FB: 20H,2119BK-1*
2119FBK-1*,Full Bed,HB: 57H FB: 20H,2119BK-1*
2119TBK-1*,Twin Bed,HB: 57H FB: 20H,2119BK-1*
2119BK-4,Night Stand,23.75 x 17 x 25.25H,2119BK-1*
2119BK-5,Dresser,56 x 18 x 38H,2119BK-1*
2119BK-6,Mirror,37.5 x 2.25 x 42.25H,2119BK-1*
2119BK-9,Chest,36 x 17 x 50.5H,2119BK-1*
2119BK-11,TV Chest,44 x 18 x 38.5H,2119BK-1*
2119KW-1CK*,California King,HB: 57H FB: 20H,2119W-1*
2119KW-1EK*,Eastern King,HB: 57H FB: 20H,2119W-1*
2119W-1*,Queen Bed,HB: 57H FB: 20H,2119W-1*
2119FW-1*,Full Bed,HB: 57H FB: 20H,2119W-1*
2119TW-1*,Twin Bed,HB: 57H FB: 20H,2119W-1*
2119W-4,Night Stand,23.75 x 17 x 25.25H,2119W-1*
2119W-5,Dresser,56 x 18 x 38H,2119W-1*
2119W-6,Mirror,37.5 x 2.25 x 42.25H,2119W-1*
2119W-9,Chest,36 x 17 x 50.5H,2119W-1*
2119W-11,TV Chest,44 x 18 x 38.5H,2119W-1*
2124K-1CK*,California King,HB: 68H FB: 44H,2124-1*
2124K-1EK*,Eastern King,HB: 68H FB: 44H,2124-1*
2124-1*,Queen Bed,HB: 68H FB: 44H,2124-1*
2124-4,Night Stand,28 x 18 x 28.25H,2124-1*
2124-5,Dresser,64 x 18 x 40H,2124-1*
2124-6,Mirror,46 x 2 x 42H,2124-1*
2124-9,Chest,38 x 18 x 54H,2124-1*
2135K-1CK*,California King Platform Bed,HB: 50H FB: 16H,2135-1*
2135K-1EK*,Eastern King Platform Bed,HB: 50H FB: 16H,2135-1*
2135-1*,Queen Platform Bed,HB: 50H FB: 16H,2135-1*
2135-4,Night Stand,26 x 19 x 24H,2135-1*
2135-5,Dresser,66 x 19 x 36H,2135-1*
2135-6,Mirror,46 x 2 x 38.75H,2135-1*
2135-9,Chest,40 x 19 x 54H,2135-1*
2135-11,TV Chest,52 x 19 x 36.75H,2135-1*
2145K-1CK*,California King,HB: 52H FB: 14H,2145-1*
2145K-1EK*,Eastern King,HB: 52H FB: 14H,2145-1*
2145-1*,Queen Bed,HB: 52H FB: 14H,2145-1*
2145F-1*,Full Bed,HB: 52H FB: 14H,2145-1*
2145T-1,Twin Bed,HB: 52H FB: 14H,2145-1*
2145-4,Night Stand,23.5 x 16.25 x 24.5H,2145-1*
2145-5,Dresser,58 x 16.25 x 36.5H,2145-1*
2145-6,Mirror,37.5 x 1 x 37.5H,2145-1*
2145-9,Chest,35.5 x 16.25 x 48.75H,2145-1*
2146K-1CK*,California King,HB: 51.5H FB: 14.5H,2146-1*
2146K-1EK*,Eastern King,HB: 51.5H FB: 14.5H,2146-1*
2146-1*,Queen Bed,HB: 51.5H FB: 14.5H,2146-1*
2146-4,Night Stand,22.25 x 16.5 x 23H,2146-1*
2146-5,Dresser,56.75 x 16.5 x 38H,2146-1*
2146-6,Mirror,45.5 x 1 x 35.5H,2146-1*
2146-9,Chest,30.5 x 16.5 x 46.5H,2146-1*
2147K-1CK*,California King Sleigh Bed,HB: 47.25H FB: 26.5H,2147-1*
2147K-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,2147-1*
2147-1*,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,2147-1*
2147F-1*,Full Sleigh Bed,HB: 47.25H FB: 26.5H,2147-1*
2147T-1*,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,2147-1*
2147-4,Night Stand,21.5 x 15.75 x 23.75H,2147-1*
2147-5,Dresser,58.25 x 15.75 x 33H,2147-1*
2147-6,Mirror,38.25 x 0.75 x 38.25H,2147-1*
2147-9,Chest,31.25 x 15.75 x 48.25H,2147-1*
2147-12,"Lingerie Chest, Hidden Drawer",21.5 x 15.75 x 56H,2147-1*
2147KBK-1CK*,California King Sleigh Bed,HB: 47.25H FB: 26.5H,2147BK-1*
2147KBK-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,2147BK-1*
2147BK-1*,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,2147BK-1*
2147FBK-1*,Full Sleigh Bed,HB: 47.25H FB: 26.5H,2147BK-1*
2147TBK-1*,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,2147BK-1*
2147BK-4,Night Stand,21.5 x 15.75 x 23.75H,2147BK-1*
2147BK-5,Dresser,58.25 x 15.75 x 33H,2147BK-1*
2147BK-6,Mirror,38.25 x 0.75 x 38.25H,2147BK-1*
2147BK-9,Chest,31.25 x 15.75 x 48.25H,2147BK-1*
2147BK-12,"Lingerie Chest, Hidden Drawer",21.5 x 15.75 x 56H,2147BK-1*
2147KSG-1CK*,California King Sleigh Bed,HB: 47.25H FB: 26.5H,2147SG-1*
2147KSG-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,2147SG-1*
2147SG-1*,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,2147SG-1*
2147FSG-1*,Full Sleigh Bed,HB: 47.25H FB: 26.5H,2147SG-1*
2147TSG-1*,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,2147SG-1*
2147SG-4,Night Stand,21.5 x 15.75 x 23.75H,2147SG-1*
2147SG-5,Dresser,58.25 x 15.75 x 33H,2147SG-1*
2147SG-6,Mirror,38.25 x 0.75 x 38.25H,2147SG-1*
2147SG-9,Chest,31.25 x 15.75 x 48.25H,2147SG-1*
2147SG-12,"Lingerie Chest, Hidden Drawer",21.5 x 15.75 x 56H,2147SG-1*
2147KW-1CK*,California King Sleigh Bed,HB: 47.25H FB: 26.5H,2147W-1*
2147KW-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 26.5H,2147W-1*
2147W-1*,Queen Sleigh Bed,HB: 47.25H FB: 26.5H,2147W-1*
2147FW-1*,Full Sleigh Bed,HB: 47.25H FB: 26.5H,2147W-1*
2147TW-1*,Twin Sleigh Bed,HB: 47.25H FB: 26.5H,2147W-1*
2147W-4,Night Stand,21.5 x 15.75 x 23.75H,2147W-1*
2147W-5,Dresser,58.25 x 15.75 x 33H,2147W-1*
2147W-6,Mirror,38.25 x 0.75 x 38.25H,2147W-1*
2147W-9,Chest,31.25 x 15.75 x 48.25H,2147W-1*
2147W-12,"Lingerie Chest, Hidden Drawer",21.5 x 15.75 x 56H,2147W-1*
2159K-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 22H,2159-1*
2159K-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 57H FB: 22H,2159-1*
2159-1*,Queen Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 22H,2159-1*
2159-4,"Night Stand, Hidden Drawer",29 x 18 x 30H,2159-1*
2159-5,"Dresser, Hidden Drawer",66 x 18 x 40H,2159-1*
2159-6,Mirror,42 x 1.5 x 37H,2159-1*
2159-9,Chest,40 x 18 x 54H,2159-1*
2159-11,TV Chest,45 x 18 x 38.25H,2159-1*
2168-9,Chest,42 x 19 x 55H,2168-1*
2168K-1CK*,California King Bed,HB: 71.75H FB: 45.5H,2168-1*
2168K-1EK*,Eastern King Bed,HB: 71.75H FB: 45.5H,2168-1*
2168-1*,Queen Bed,HB: 71.75H FB: 45.5H,2168-1*
2168-4,Night Stand,32 x 18 x 30H,2168-1*
2168-5,Dresser,67.75 x 19 x 39.75H,2168-1*
2168-6,Mirror,47.25 x 3 x 42H,2168-1*
2168-11,TV Chest,42 x 19 x 39.75H,2168-1*
2168KWW-1CK*,California King Bed,HB: 71.75H FB: 45.5H,2168WW-1*
2168KWW-1EK*,Eastern King Bed,HB: 71.75H FB: 45.5H,2168WW-1*
2168WW-1*,Queen Bed,HB: 71.75H FB: 45.5H,2168WW-1*
2168WW-4,Night Stand,32 x 18 x 30H,2168WW-1*
2168WW-5,Dresser,67.75 x 19 x 39.75H,2168WW-1*
2168WW-6,Mirror,47.25 x 3 x 42H,2168WW-1*
2168WW-9,Chest,42 x 19 x 55H,2168WW-1*
2168WW-11,TV Chest,42 x 19 x 39.75H,2168WW-1*
2169SLK-1CK*,California King Sleigh Bed,HB: 69H FB: 34H,2169SL-1*
2169SLK-1EK*,Eastern King Sleigh Bed,HB: 69H FB: 34H,2169SL-1*
2169SL-1*,Queen Sleigh Bed,HB: 69H FB: 34H,2169SL-1*
2169-4,"Night Stand, Marble Inset",34 x 21 x 30H,2169SL-1*
2169-5,"Dresser, Marble Inset",70 x 23 x 41H,2169SL-1*
2169-6,Mirror,46 x 3 x 45H,2169SL-1*
2169-9,Chest,44 x 21 x 58H,2169SL-1*
2169-11,"TV Chest, Marble Inset",48 x 20 x 40H,2169SL-1*
2220K-1CK*,California King Platform Bed,HB: 44.5H FB: 13.5H,2220-1*
2220K-1EK*,Eastern King Platform Bed,HB: 44.5H FB: 13.5H,2220-1*
2220-1*,Queen Platform Bed,HB: 44.5H FB: 13.5H,2220-1*
2220F-1*,Full Platform Bed,HB: 44.5H FB: 13.5H,2220-1*
2220T-1*,Twin Platform Bed,HB: 44.5H FB: 13.5H,2220-1*
2220-4,Night Stand,21.25 x 16 x 22H,2220-1*
2220-5,Dresser,56.25 x 16 x 32.25H,2220-1*
2220-6,Mirror,28.75 x 0.75 x 38.75H,2220-1*
2220-9,Chest,29.75 x 16 x 46.5H,2220-1*
2220KDBR-1CK*,California King Platform Bed,HB:44.5H   FB:13.5H,2220DBR-1*
2220KDBR-1EK*,Eastern King Platform Bed,HB:44.5H   FB:13.5H,2220DBR-1*
2220DBR-1*,Queen Platform Bed,HB:44.5H   FB:13.5H,2220DBR-1*
2220FDBR-1*,Full Platform Bed,HB:44.5H   FB:13.5H,2220DBR-1*
2220TDBR-1*,Twin Platform Bed,HB:44.5H   FB:13.5H,2220DBR-1*
2220DBR-4,Night Stand,21.25  x  16  x  22H,2220DBR-1*
2220DBR-5,Dresser,56.25  x  16  x  32.25H,2220DBR-1*
2220DBR-6,Mirror,28.75  x  0.75  x  38.75H,2220DBR-1*
2220DBR-9,Chest,29.75  x  16  x  46.5H,2220DBR-1*
2243K-1CK*,California King Bed,HB: 84.25H FB: 84.25H,2243-1*
2243K-1EK*,Eastern King Bed,HB: 84.25H FB: 84.25H,2243-1*
2243-1*,Queen Bed,HB: 84.25H FB: 84.25H,2243-1*
2243-4,Night Stand,29.5 x 18 x 29.25H,2243-1*
2243-5,Dresser,67.75 x 19 x 38.25H,2243-1*
2243-6,Mirror,49 x 4.5 x 49.25H,2243-1*
2243-9,Chest,41.75 x 19 x 59H,2243-1*
2243-11,TV Chest,44 x 19 x 38.25H,2243-1*
2243SLK-1CK*,California King Sleigh Bed,HB: 70.5H FB:31.25H,2243SL-1*
2243SLK-1EK*,Eastern King Sleigh Bed,HB: 70.5H FB:31.25H,2243SL-1*
2243SL-1*,Queen Sleigh Bed,HB: 70.5H FB:31.25H,2243SL-1*
2243-4,Night Stand,29.5 x 18 x 29.25H,2243SL-1*
2243-5,Dresser,67.75 x 19 x 38.25H,2243SL-1*
2243-6,Mirror,49 x 4.5 x 49.25H,2243SL-1*
2243-9,Chest,41.75 x 19 x 59H,2243SL-1*
2243-11,TV Chest,44 x 19 x 38.25H,2243SL-1*
2259KGY-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 21H,2259GY-1*
2259KGY-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 57H FB: 21H,2259GY-1*
2259GY-1*,Queen Sleigh Platform Bed with Footboard Storage,HB: 57H FB: 21H,2259GY-1*
2259GY-4,"Night Stand, Hidden Drawer",28.5 x 18 x 29.75H,2259GY-1*
2259GY-5,"Dresser, Hidden Drawer",65 x 18 x 40H,2259GY-1*
2259GY-6,Mirror,42.5 x 1.5 x 36.5H,2259GY-1*
2259GY-9,Chest,39 x 18 x 54H,2259GY-1*
2299KW-1CK*,California King Sleigh Bed,HB: 56.5H FB: 16H,2299W-1*
2299KW-1EK*,Eastern King Sleigh Bed,HB: 56.5H FB: 16H,2299W-1*
2299W-1*,Queen Sleigh Bed,HB: 56.5H FB: 16H,2299W-1*
2299-4,Night Stand,25.5 x 17 x 28.5H,2299W-1*
2299-5,Dresser,67 x 18 x 37.25H,2299W-1*
2299-6,Mirror,54 x 1 x 38H,2299W-1*
2299-9,Chest,38 x 18 x 53H,2299W-1*
2615KDC-1CK*,California King Sleigh Platform Bed with Footboard Storage,HB: 58H FB: 20.75H,2615DC-1*
2615KDC-1EK*,Eastern King Sleigh Bed with Footboard Storage,HB: 58H FB: 20.75H,2615DC-1*
2615DC-1*,Queen Sleigh Platform Bed with Footboard Storage,HB: 58H FB: 20.75H,2615DC-1*
2615DC-4,Night Stand,28 x 18 x 29H,2615DC-1*
2615DC-5,Dresser,66.5 x 19 x 38.25H,2615DC-1*
2615DC-6,Mirror,44 x 1.5 x 40H,2615DC-1*
2615DC-9,Chest,40 x 19 x 54H,2615DC-1*
2615DC-11,TV Chest,40 x 19 x 40H,2615DC-1*
2867K-1CK,California King Platform Metal Bed,HB: 50H FB: 25.5H,2867-1*
2867K-1EK,Eastern King Platform Metal Bed,HB: 50H FB: 25.5H,2867-1*
2867-1,Queen Platform Metal Bed,HB: 50H FB: 25.5H,2867-1*
2867F-1,Full Platform Metal Bed,HB: 50H FB: 25.5H,2867-1*
292BK-1CK*,California King Platform Bed with Rails Storage,HB: 66H  FB:22H,292B-1*
292BK-1EK*,Eastern King Platform Bed with Rails Storage,HB: 66H  FB:22H,292B-1*
292B-1*,Queen Platform Bed with Rails Storage,HB: 66H  FB:22H,292B-1*
292B-4,"Night Stand, Marble insert",28 x 18 x 28H,292B-1*
292B-5,"Dresser, Marble insert",66 x 18 x 40H,292B-1*
292B-6,Mirror,54 x 2.5 x 37H,292B-1*
292B-9,"Chest, Marble insert",40 x 18 x 54H,292B-1*
5400K-1CK*,California King Sleigh Bed,HB: 54.5H FB: 30H,5400-1*
5400K-1EK*,Eastern King Sleigh Bed,HB: 54.5H FB: 30H,5400-1*
5400-1*,Queen Sleigh Bed,HB: 54.5H FB: 30H,5400-1*
5400-4,Night Stand,27.5 x 17.75 x 27.5H,5400-1*
5400-5,Dresser,63 x 17.75 x 39.5H,5400-1*
5400-6,Mirror,43 x 2.25 x 37.5H,5400-1*
5400-9,Chest,38 x 17.75 x 52H,5400-1*
5415RFK-1CK*,California King Bed,HB: 55.5H FB: 17.25H,5415RF-1*
5415RFK-1EK*,Eastern King Bed,HB: 55.5H FB: 17.25H,5415RF-1*
5415RF-1*,Queen Bed,HB: 55.5H FB: 17.25H,5415RF-1*
5415RF-4,Night Stand,28 x 16 x 26.5H,5415RF-1*
5415RF-5,Dresser,61 x 18 x 37H,5415RF-1*
5415RF-6,Mirror,46.5 x 1.25 x 40.75H,5415RF-1*
5415RF-9,Chest,36 x 18 x 52.25H,5415RF-1*
5415RF-FBH,Bench,51 x 17.75 x 20H,5415RF-1*
5424K-1CK*,California King bed,HB: 63H  FB: 13H,5424-1*
5424K-1EK*,Eastern King Bed,HB: 63H  FB: 13H,5424-1*
5424-1*,Queen Bed,HB: 63H  FB: 13H,5424-1*
5424-4,"Night Stand, LED lighting",28 x 18 x 28H,5424-1*
5424-5,Dresser,66 x 18 x 38H,5424-1*
5424-6,Mirror,48 x 1.5 x 38H,5424-1*
5424-9,Chest,40 x 18 x 56H,5424-1*
5438K-1CK*,California King Platform Bed with Footboard Storage,HB: 59.5H FB: 19H,5438-1*
5438K-1EK*,Eastern King Platform Bed with Footboard Storage,HB: 59.5H FB: 19H,5438-1*
5438-1*,Queen Platform Bed with Footboard Storage,HB: 59.5H FB: 19H,5438-1*
5438-4,Night Stand,28.5 x 17 x 30H,5438-1*
5438-5,Dresser,64.5 x 18 x 38.75H,5438-1*
5438-6,Mirror,44 x 2.5 x 36H,5438-1*
5438-9,Chest,40.5 x 18 x 52.75H,5438-1*
5789KBK-1CK*,California King Sleigh Bed,HB: 47.25H FB: 13.75H,5789BK-1*
5789KBK-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 13.75H,5789BK-1*
5789BK-1*,Queen Sleigh Bed,HB: 47.25H FB: 13.75H,5789BK-1*
5789FBK-1*,Full Sleigh Bed,HB: 47.25H FB: 13.75H,5789BK-1*
5789KN-1CK*,California King Sleigh Bed,HB: 47.25H FB: 13.75H,5789N-1*
5789KN-1EK*,Eastern King Sleigh Bed,HB: 47.25H FB: 13.75H,5789N-1*
5789N-1*,Queen Sleigh Bed,HB: 47.25H FB: 13.75H,5789N-1*
5789FN-1*,Full Sleigh Bed,HB: 47.25H FB: 13.75H,5789N-1*
5790K-1CK*,California King Platform Bed,HB: 35H FB: 11H,5790-1*
5790K-1EK*,Eastern King Platform Bed,HB: 35H FB: 11H,5790-1*
5790-1*,Queen Platform Bed,HB: 35H FB: 11H,5790-1*
5790F-1*,Full Platform Bed,HB: 35H FB: 11H,5790-1*
5790-4,Night Stand,20.25 x 16.5 x 20.5H,5790-1*
5797KN-1CK*,California King Bed,HB: 64H FB: 13.5H,5797N-1*
5797KN-1EK*,Eastern King Bed,HB: 64H FB: 13.5H,5797N-1*
5797N-1*,Queen Bed,HB: 64H FB: 13.5H,5797N-1*
5797FN-1*,Full Bed,HB: 64H FB: 13.5H,5797N-1*
5799KPU-1CK*,California King Sleigh Bed,HB: 54.25H FB: 13.75H,5799PU-1*
5799KPU-1EK*,Eastern King Sleigh Bed,HB: 54.25H FB: 13.75H,5799PU-1*
5799PU-1*,Queen Sleigh Bed,HB: 54.25H FB: 13.75H,5799PU-1*
5799FPU-1*,Full Sleigh Bed,HB: 54.25H FB: 13.75H,5799PU-1*
5872KN-1CK*,California King Bed,HB: 64.5H FB: 14.25H,5872N-1*
5872KN-1EK*,Eastern King Bed,HB: 64.5H FB: 14.25H,5872N-1*
5872N-1*,Queen Bed,HB: 64.5H FB: 14.25H,5872N-1*
5873KN-1CK*,California King Bed,HB: 56H FB: 22.75H,5873N-1*
5873KN-1EK*,Eastern King Bed,HB: 56H FB: 22.75H,5873N-1*
5873N-1*,Queen Bed,HB: 56H FB: 22.75H,5873N-1*
5873N-BH,Bench,49.5 x 20 x 18.5H,5873N-1*
5873N-ST,Ottoman,21.5 x 21.5 x 19.25H,5873N-1*
5874KGY-1CK*,California King bed,HB: 62H  FB: 16.75H,5874GY-1*
5874KGY-1EK*,Eastern King Bed,HB: 62H  FB: 16.75H,5874GY-1*
5874GY-1*,Queen Bed,HB: 62H  FB: 16.75H,5874GY-1*
5874FGY-1*,Full Bed,HB: 62H  FB: 16.75H,5874GY-1*
5874KNV-1CK*,California King bed,HB: 62H  FB: 16.75H,5874NV-1*
5874KNV-1EK*,Eastern King Bed,HB: 62H  FB: 16.75H,5874NV-1*
5874NV-1*,Queen Bed,HB: 62H  FB: 16.75H,5874NV-1*
5874FNV-1*,Full Bed,HB: 62H  FB: 16.75H,5874NV-1*
5874KTE-1CK*,California King bed,HB: 62H  FB: 16.75H,5874TE-1*
5874KTE-1EK*,Eastern King Bed,HB: 62H  FB: 16.75H,5874TE-1*
5874TE-1*,Queen Bed,HB: 62H  FB: 16.75H,5874TE-1*
5874FTE-1*,Full Bed,HB: 62H  FB: 16.75H,5874TE-1*
5875KBE-1CK*,California King Platform Bed,HB: 52H  FB: 15H,5875BE-1*
5875KBE-1EK*,Eastern King Platform Bed,HB: 52H  FB: 15H,5875BE-1*
5875BE-1*,Queen Platform Bed,HB: 52H  FB: 15H,5875BE-1*
5875FBE-1*,Full Platform Bed,HB: 52H  FB: 15H,5875BE-1*
5875KBR-1CK*,California King Platform Bed,HB: 52H  FB: 15H,5875BR-1*
5875KBR-1EK*,Eastern King Platform Bed,HB: 52H  FB: 15H,5875BR-1*
5875BR-1*,Queen Platform Bed,HB: 52H  FB: 15H,5875BR-1*
5875FBR-1*,Full Platform Bed,HB: 52H  FB: 15H,5875BR-1*
5875KGY-1CK*,California King Platform Bed,HB: 52H  FB: 15H,5875GY-1*
5875KGY-1EK*,Eastern King Platform Bed,HB: 52H  FB: 15H,5875GY-1*
5875GY-1*,Full Platform Bed,HB: 52H  FB: 15H,5875GY-1*
5875FGY-1*,Queen Platform Bed,HB: 52H  FB: 15H,5875GY-1*
5876KBE-1CK*,California King Platform Bed,HB: 67H  FB: 15H,5876BE-1*
5876KBE-1EK*,Eastern King Platform Bed,HB: 67H  FB: 15H,5876BE-1*
5876BE-1*,Queen Platform Bed,HB: 67H  FB: 15H,5876BE-1*
5876FBE-1*,Full Platform Bed,HB: 67H  FB: 15H,5876BE-1*
5876KBE-1CKDW*,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BE-1DW*
5876KBE-1EKDW*,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BE-1DW*
5876BE-1DW*,Queen Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BE-1DW*
5876FBE-1DW*,Full Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BE-1DW*
5876KBR-1CK*,California King Platform Bed,HB: 67H  FB: 15H,5876BR-1*
5876KBR-1EK*,Eastern King Platform Bed,HB: 67H  FB: 15H,5876BR-1*
5876BR-1*,Queen Platform Bed,HB: 67H  FB: 15H,5876BR-1*
5876FBR-1*,Full Platform Bed,HB: 67H  FB: 15H,5876BR-1*
5876KBR-1CKDW*,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BR-1DW*
5876KBR-1EKDW*,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BR-1DW*
5876BR-1DW*,Queen Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BR-1DW*
5876FBR-1DW*,Full Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876BR-1DW*
5876KGY-1CK*,California King Platform Bed,HB: 67H  FB: 15H,5876GY-1*
5876KGY-1EK*,Eastern King Platform Bed,HB: 67H  FB: 15H,5876GY-1*
5876GY-1*,Queen Platform Bed,HB: 67H  FB: 15H,5876GY-1*
5876FGY-1*,Full Platform Bed,HB: 67H  FB: 15H,5876GY-1*
5876KGY-1CKDW*,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876GY-1DW*
5876KGY-1EKDW*,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876GY-1DW*
5876GY-1DW*,Queen Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876GY-1DW*
5876FGY-1DW*,Full Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5876GY-1DW*
5877KBE-1CK*,California King Platform Bed,HB: 67H  FB: 15H,5877BE-1*
5877KBE-1EK*,Eastern King Platform Bed,HB: 67H  FB: 15H,5877BE-1*
5877BE-1*,Queen Platform Bed,HB: 67H  FB: 15H,5877BE-1*
5877FBE-1*,Full Platform Bed,HB: 67H  FB: 15H,5877BE-1*
5877KBE-1CKDW*,California King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5877BE-1DW*
5877KBE-1EKDW*,Eastern King Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5877BE-1DW*
5877BE-1DW*,Queen Platform Bed with Storage Footboard,HB: 67H  FB: 15H,5877BE-1DW*
